OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
THORAD AGENA D DEB,1969-082BP,2022-12-15T05:19:55.063776,14.87509929,.0021186,70.0810,323.0710,27.2715,332.9547,0,U,4200,999,80218,.12844E-2,.11649E-3,0
THORAD AGENA D DEB,1969-082BU,2022-12-14T14:39:38.035296,14.26737538,.006471,70.0595,121.0499,136.4673,224.1583,0,U,4205,999,91918,.2283E-3,.509E-5,0
THORAD AGENA D DEB,1969-082BV,2022-12-14T19:50:51.384768,14.88939470,.002835,69.9270,91.4807,339.2225,20.7774,0,U,4206,999,79716,.10748E-2,.10115E-3,0
THORAD AGENA D DEB,1969-082BW,2022-12-14T14:47:46.981536,14.55654365,.0034245,69.9654,104.6169,251.2555,108.4864,0,U,4207,999,78006,.71842E-3,.3101E-4,0
THORAD AGENA D DEB,1969-082BX,2022-12-14T13:07:46.352064,14.22488675,.001725,70.0867,295.5115,296.1013,63.8332,0,U,4208,999,82757,.35726E-3,.742E-5,0
THORAD AGENA D DEB,1969-082BY,2022-12-15T10:40:39.928512,14.04605253,.0042373,70.0327,102.1462,219.0881,140.7166,0,U,4209,999,72464,.74141E-4,.65E-6,0
THORAD AGENA D DEB,1969-082CA,2022-12-14T15:40:49.079712,14.10335400,.0036471,70.0734,314.5697,268.4553,91.2382,0,U,4211,999,73240,.26043E-3,.411E-5,0
THORAD AGENA D DEB,1969-082CD,2022-12-14T17:08:35.111328,14.41159908,.0058744,70.0509,148.2336,69.9538,290.7902,0,U,4214,999,77542,.26815E-3,.824E-5,0
THORAD AGENA D DEB,1969-082CF,2022-12-14T19:24:34.341120,14.22816282,.0045072,70.1074,11.9423,103.1232,257.4924,0,U,4216,999,97916,.15262E-3,.291E-5,0
THORAD AGENA D DEB,1969-082CG,2022-12-14T20:47:22.395552,14.36456657,.0036298,70.0393,203.7449,7.3352,352.8298,0,U,4217,999,76357,.28474E-3,.784E-5,0
THORAD AGENA D DEB,1969-082CH,2022-12-15T06:43:38.911872,14.49075710,.0039917,70.1021,346.1246,343.7149,16.2699,0,U,4218,999,77317,.64531E-3,.2417E-4,0
AZUR (GRS A),1969-097A,2022-12-14T19:46:03.417888,14.41751542,.0560931,102.6898,84.9736,101.5623,264.9046,0,U,4221,999,53579,.63052E-3,.15377E-3,0
THORAD AGENA D DEB,1969-082CJ,2022-12-14T13:50:30.638400,14.85837395,.0040425,69.8783,297.3422,246.9168,112.7720,0,U,4227,999,78965,.8398E-3,.7351E-4,0
THORAD AGENA D DEB,1969-082CN,2022-12-14T22:18:43.896672,14.42883817,.0034001,70.2770,183.0404,160.8609,199.3809,0,U,4231,999,76703,.37879E-3,.1218E-4,0
OPS 7613 (P/L 4),1969-082E,2022-12-15T09:09:27.171072,13.95608899,.0020877,70.0152,317.0178,349.8683,164.3150,0,U,4237,999,70823,.94723E-4,.76E-6,0
OPS 7613 (P/L 5),1969-082F,2022-12-14T14:44:08.875968,13.95597522,.0020862,70.0149,317.2247,349.5207,10.5461,0,U,4247,999,70815,.70471E-4,.43E-6,0
THORAD AGENA D DEB,1969-082CY,2022-12-15T05:11:52.169856,14.20240326,.0061639,70.0628,329.8318,201.4304,158.4234,0,U,4249,999,74053,.28665E-3,.569E-5,0
SKYNET 1A,1969-101A,2022-12-14T14:45:13.317408,1.00275338,.0022443,2.8673,282.6834,292.3627,343.5557,0,U,4250,999,12167,0,-.63E-6,0
DELTA 1 R/B,1969-101B,2022-12-14T06:47:33.074016,4.57768759,.5620845,27.7384,75.9575,336.2245,5.6761,0,U,4251,999,61996,.78852E-3,.2201E-4,0
COSMOS 312,1969-103A,2022-12-15T04:11:12.670080,13.27144936,.0022818,74.0208,232.6805,3.3539,154.7385,0,U,4254,999,57025,-.87881E-5,-.24E-6,0
SL-8 R/B,1969-103B,2022-12-14T16:24:45.732960,13.29558897,.0012012,74.0139,107.7529,262.7871,203.5218,0,U,4255,999,57414,-.38715E-4,-.38E-6,0
OPS 7613 (P/L 1),1969-082B,2022-12-14T20:44:32.054496,13.98505102,.0022106,70.0086,193.9107,297.0434,62.8417,0,U,4256,999,71141,.95491E-4,.84E-6,0
TIMATION 2,1969-082C,2022-12-14T16:20:21.067296,13.95963902,.0021218,70.0152,307.8746,344.2842,189.0346,0,U,4257,999,70835,.73338E-4,.48E-6,0
OPS 7613 (P/L 3),1969-082D,2022-12-14T17:27:15.187104,13.94816803,.0020187,70.0152,346.3189,7.2537,165.1776,0,U,4259,999,80310,.47387E-4,.11E-6,0
THORAD AGENA D DEB,1969-082DK,2022-12-14T23:48:53.595936,14.74131300,.0027744,70.0623,242.5701,324.1290,35.7993,0,U,4276,999,79160,.77002E-3,.5042E-4,0
THORAD AGENA D DEB,1969-082DL,2022-12-14T14:31:44.393952,14.06942363,.0039112,70.0224,288.0239,134.4001,226.0324,0,U,4277,999,72834,.61178E-4,.49E-6,0
OPS 7613 (P/L 6),1969-082G,2022-12-15T08:32:23.668800,13.95254064,.0020057,70.0126,321.2441,5.3397,354.7919,0,U,4295,999,70734,.8342E-4,.6E-6,0
INTELSAT 3-F6,1970-003A,2022-12-15T08:31:29.364672,0.99155874,.001011,2.2772,277.8095,57.7298,162.0637,0,U,4297,999,16442,0,-.93E-6,0
DELTA 1 R/B,1970-003B,2022-12-13T11:00:44.697888,3.16387534,.6574408,28.1196,45.1635,342.6501,2.8336,0,U,4298,999,52255,.13267E-2,.173E-4,0
THORAD AGENA D DEB,1969-082DR,2022-12-14T21:59:55.342464,14.60912699,.0066194,70.3351,189.2117,169.5225,190.7315,0,U,4311,999,78953,.42879E-3,.21E-4,0
ITOS 1 (TIROS M),1970-008A,2022-12-14T16:30:50.438592,12.52075442,.0028025,101.5660,47.5315,285.9336,197.9504,0,U,4320,999,61359,.94766E-4,-.29E-6,0
OSCAR 5 (AO-5),1970-008B,2022-12-14T16:19:18.824736,12.52159468,.0027488,101.4550,32.4205,245.8976,229.6481,0,U,4321,999,41717,-.39223E-4,-.49E-6,0
DELTA 1 R/B,1970-008C,2022-12-14T17:05:23.487360,12.51898267,.0027957,101.4355,27.8399,278.2598,197.7786,0,U,4322,999,41669,-.58493E-4,-.52E-6,0
THORAD AGENA D DEB,1969-082DZ,2022-12-14T17:25:24.355776,14.28584600,.0065979,70.0557,121.1690,130.4620,230.2282,0,U,4326,999,75436,.30782E-3,.734E-5,0
SERT 2,1970-009A,2022-12-14T19:11:18.392352,13.58535883,.000431,99.1298,345.1250,316.2278,217.5152,0,U,4327,999,61953,.69541E-4,.1E-6,0
OPS 0054 (DMSP 5A F1),1970-012A,2022-12-14T13:52:07.777056,14.33003482,.0059517,98.8589,103.9817,117.5660,243.1586,0,U,4331,999,75366,.11044E-3,.262E-5,0
THOR BURNER 2 R/B,1970-012B,2022-12-14T20:18:23.970528,14.30978161,.0059713,98.9892,205.3562,318.9612,40.7085,0,U,4332,999,75165,.82712E-4,.174E-5,0
NATO 2A,1970-021A,2022-12-14T14:41:52.922976,1.00264200,.0002364,3.6059,288.3668,234.3838,32.6169,0,U,4353,999,11304,0,-.48E-6,0
DELTA 1 R/B,1970-021B,2022-12-14T15:48:48.511584,3.40786227,.6425946,25.3675,43.8764,180.2198,179.2333,0,U,4354,999,33374,.16488E-2,.5359E-4,0
NIMBUS 4,1970-025A,2022-12-14T18:02:56.408928,13.44643426,.0006887,99.9537,262.1460,236.2371,178.7218,0,U,4362,999,58475,.72009E-4,-.3E-7,0
TOPO 1,1970-025B,2022-12-14T16:39:51.013152,13.46610326,.0001272,99.9182,257.2544,247.2280,179.3722,0,U,4363,999,58884,.57797E-4,-.1E-6,0
THORAD AGENA D R/B,1970-025C,2022-12-14T21:22:08.634144,13.51354155,.0035184,100.1301,38.6387,307.5282,226.5258,0,U,4367,999,60998,.35823E-4,-.24E-6,0
OPS 7033 (VELA 11),1970-027B,2022-11-20T16:41:27.998016,0.21497587,.6655316,86.5313,36.0141,112.0718,0.5449,0,U,4368,999,981,0,.77E-5,0
COSMOS 332,1970-028A,2022-12-14T18:00:03.241728,14.51720999,.0006362,74.0345,158.7791,333.1250,26.9580,0,U,4369,999,78219,.68745E-4,.248E-5,0
SL-8 R/B,1970-028B,2022-12-14T17:15:35.565696,14.60432776,.0015654,74.0386,220.9459,343.6651,16.4008,0,U,4370,999,30434,.95472E-4,.433E-5,0
INTELSAT 3-F7,1970-032A,2022-12-14T09:07:05.157984,1.00253013,.0001736,0.9680,260.7093,40.3258,58.9615,0,U,4376,999,3451,0,-.261E-5,0
DELTA 1 R/B,1970-032B,2022-12-13T02:34:26.586624,4.21084323,.5862038,26.9252,27.0958,315.8195,10.0727,0,U,4377,999,57777,.14432E-2,.3753E-4,0
DFH 1,1970-034A,2022-12-14T19:33:32.045472,13.08908417,.1043205,68.4197,143.0786,49.1870,319.5030,0,U,4382,999,47776,.18089E-3,.1123E-4,0
COSMOS 336,1970-036A,2022-12-15T04:17:01.584384,12.47630984,.0015318,74.0290,247.7545,252.3606,260.7932,0,U,4383,999,39763,.43364E-4,-.9E-7,0
COSMOS 337,1970-036B,2022-12-14T13:54:08.475264,12.39224899,.0053034,74.0292,284.3119,28.6201,144.0881,0,U,4384,999,38108,.18183E-3,.9E-7,0
COSMOS 338,1970-036C,2022-12-14T17:21:47.942784,12.43342674,.0031659,74.0296,91.1141,164.8033,307.5171,0,U,4385,999,38883,.11553E-3,.1E-7,0
COSMOS 339,1970-036D,2022-12-15T10:37:17.030208,12.51841892,.0016283,74.0308,46.9892,282.6340,88.0587,0,U,4386,999,40576,.41059E-4,-.1E-6,0
COSMOS 340,1970-036E,2022-12-15T07:22:50.956608,12.56301065,.0039295,74.0266,193.5638,35.7114,138.9774,0,U,4387,999,41426,.18605E-4,-.13E-6,0
COSMOS 341,1970-036F,2022-12-14T19:07:40.939968,12.64313005,.0081606,74.0261,166.4219,309.1802,61.8174,0,U,4388,999,42909,.58807E-4,-.6E-7,0
COSMOS 342,1970-036G,2022-12-14T17:46:08.412960,12.68297296,.0100365,74.0291,331.6095,84.1469,89.1533,0,U,4389,999,43677,.9292E-4,.2E-7,0
COSMOS 343,1970-036H,2022-12-15T10:39:51.776064,12.60424093,.0059577,74.0283,354.4213,161.0893,311.6694,0,U,4390,999,42220,-.63552E-5,-.17E-6,0
SL-8 R/B,1970-036J,2022-12-15T11:26:56.419296,12.34974867,.0076697,74.0276,117.2771,259.5546,170.6692,0,U,4391,999,37346,.65094E-3,.67E-6,0
SL-3 R/B,1970-037B,2022-12-15T03:18:30.927744,15.36197403,.003417,81.2383,170.2701,86.8536,273.6613,0,U,4394,999,87170,.27183E-3,.9807E-4,0
METEOR 1-5,1970-047A,2022-12-14T16:09:52.550496,14.15550682,.0040454,81.2182,58.1353,110.3192,250.2336,0,U,4419,999,70753,.71527E-4,.154E-5,0
SL-3 R/B,1970-047B,2022-12-14T18:48:28.622304,14.12163500,.008665,81.2287,170.1973,306.9728,52.3532,0,U,4420,999,70127,-.108E-4,-.9E-7,0
COSMOS 252 DEB,1968-097CF,2022-12-14T17:45:53.424288,13.64030550,.0718786,62.7458,190.1051,352.3547,6.6970,0,U,4421,999,59084,.64584E-3,.3091E-4,0
THORAD AGENA D DEB,1969-082ED,2022-12-14T15:02:45.106944,14.27596466,.0050607,69.9783,313.2321,91.3987,269.2933,0,U,4432,999,75213,.23526E-3,.53E-5,0
THORAD AGENA D DEB,1969-082EG,2022-12-14T17:16:16.328352,14.63015760,.0022238,70.0218,204.5392,331.4558,28.5363,0,U,4435,999,77812,.5567E-3,.28E-4,0
THORAD AGENA D DEB,1969-082EK,2022-12-15T10:43:32.150496,14.56762362,.0058139,70.1009,28.4655,236.6136,122.9432,0,U,4438,999,78825,.35715E-3,.1569E-4,0
THORAD AGENA D DEB,1969-082EU,2022-12-14T22:29:19.608000,14.38064571,.0057361,69.9734,175.7701,3.0185,357.1277,0,U,4449,999,75635,.34753E-3,.1015E-4,0
THORAD AGENA D DEB,1969-082EW,2022-12-14T21:28:09.398208,14.46735835,.0034847,70.0352,165.7269,132.2357,228.1741,0,U,4451,999,76994,.43196E-3,.1515E-4,0
THORAD AGENA D DEB,1969-082EY,2022-12-14T15:08:10.810752,14.10117102,.0030877,70.1321,80.5439,70.4354,290.0090,0,U,4453,999,72786,.75274E-4,.8E-6,0
THORAD AGENA D DEB,1969-082FM,2022-12-14T04:57:34.230816,13.84993439,.008321,70.0738,268.9321,100.9626,260.0850,0,U,4468,999,67839,.23117E-3,.218E-5,0
INTELSAT 3-F8,1970-055A,2022-12-15T11:23:03.208416,1.02262351,.0319322,2.3082,80.4565,77.9268,263.1063,0,U,4478,999,10978,0,.7E-6,0
DELTA 1 DEB,1968-069G,2022-12-14T21:30:44.356608,12.51247504,.0028077,101.4922,33.5616,331.7198,204.2916,0,U,4499,999,48312,-.50927E-4,-.51E-6,0
NNSS 19 (TRANSIT 19),1970-067A,2022-12-14T16:52:18.324768,13.50864303,.0170963,89.9343,238.0148,221.8833,136.9136,0,U,4507,999,57449,.11457E-3,.9E-6,0
OPS 7329,1970-069A,2022-12-15T09:02:54.377664,1.00317354,.0974881,10.4487,197.0547,56.8448,157.9745,0,U,4510,999,1194,0,.154E-5,0
ATLAS AGENA D R/B,1970-046B,2022-12-13T22:41:44.261088,1.00428562,.0030225,1.6155,277.3711,93.1549,267.8876,0,U,4511,999,1268,0,.131E-5,0
OPS 0203 (DMSP 5A F2),1970-070A,2022-12-14T16:45:57.741408,14.34930106,.0063238,98.8516,244.0434,256.2477,103.1663,0,U,4512,999,72788,.10868E-3,.269E-5,0
THOR BURNER 2 R/B,1970-070B,2022-12-15T05:52:41.757600,14.33329634,.0067769,98.8511,263.2987,23.1252,337.2956,0,U,4513,999,72655,.12224E-3,.299E-5,0
SCOUT A R/B,1970-067B,2022-12-14T17:00:33.165216,13.49314283,.0173262,89.9347,237.4462,305.7425,106.1057,0,U,4515,999,57264,.10085E-3,.77E-6,0
THORAD AGENA D DEB,1969-082FW,2022-12-15T07:05:58.241472,15.02141368,.0018417,70.0380,170.3183,116.7390,243.5659,0,U,4519,999,81416,.14958E-2,.19742E-3,0
THORAD AGENA D DEB,1969-082GN,2022-12-15T08:23:24.559584,14.29819176,.0036554,69.9891,220.6496,176.6809,183.4564,0,U,4547,999,74912,.36864E-3,.897E-5,0
SCOUT A DEB,1966-041F,2022-12-14T15:37:22.907712,14.40429997,.0050571,90.1775,44.9966,135.4075,225.1212,0,U,4555,999,23881,.55749E-3,.1808E-4,0
COSMOS 367,1970-079A,2022-12-14T13:47:36.436128,13.78461938,.0068411,65.2790,70.5887,213.9182,145.7494,0,U,4564,999,62659,.33383E-4,-.51E-6,0
COSMOS 371,1970-083A,2022-12-14T17:00:30.842784,14.54173273,.0002699,73.9995,83.2731,348.9905,11.1198,0,U,4578,999,75935,.80444E-4,.312E-5,0
SL-8 R/B,1970-083B,2022-12-14T21:27:55.588896,14.60830953,.0009184,74.0014,211.8530,93.5210,266.7007,0,U,4579,999,76766,.87475E-4,.397E-5,0
COSMOS 372,1970-086A,2022-12-14T13:28:12.452736,14.36137417,.0012258,74.0572,44.7205,132.3117,334.2835,0,U,4588,999,72945,.51746E-4,.125E-5,0
SL-8 R/B,1970-086B,2022-12-14T20:36:27.632160,14.41835971,.0021834,74.0591,206.0622,274.6906,85.1756,0,U,4589,999,73589,.58003E-4,.163E-5,0
COSMOS 374,1970-089A,2022-12-14T18:08:28.001760,12.95108949,.0900649,62.9601,358.4410,304.5301,47.3817,0,U,4594,999,50297,.21743E-3,.325E-5,0
SL-11 R/B,1970-089B,2022-12-15T10:51:22.193280,12.94829222,.0913571,62.9594,146.1711,307.2746,44.8266,0,U,4597,999,59431,.28983E-4,-.4E-6,0
COSMOS 375,1970-091A,2022-12-14T17:17:13.943328,12.96272155,.0979827,62.8103,218.3158,42.5048,324.7724,0,U,4598,999,46251,.83041E-4,.135E-5,0
THORAD AGENA D DEB,1970-025F,2022-12-14T16:06:27.516384,13.81913349,.0020685,99.5453,55.9857,46.8426,81.6609,0,U,4603,999,61556,.18382E-2,.193E-4,0
THORAD AGENA D DEB,1970-025K,2022-12-14T06:53:51.347904,12.30628662,.0616503,100.2111,94.5880,187.2541,237.6395,0,U,4607,999,36369,.4563E-3,.68E-6,0
THORAD AGENA D DEB,1970-025P,2022-12-14T15:13:22.164384,14.01646438,.0127222,99.8179,231.2842,328.0657,31.2839,0,U,4611,999,67617,.1913E-3,.259E-5,0
THORAD AGENA D DEB,1970-025Q,2022-12-15T10:21:00.037152,13.99931415,.0087578,99.7669,166.0506,196.1959,163.6400,0,U,4612,999,66607,.10268E-2,.151E-4,0
THORAD AGENA D DEB,1970-025R,2022-12-14T20:17:01.944096,14.16853402,.0102261,98.7086,28.9591,269.7523,89.1934,0,U,4613,999,67922,.57973E-3,.1179E-4,0
THORAD AGENA D DEB,1970-025S,2022-12-14T15:55:34.837824,13.88924344,.0080483,100.0563,243.9709,231.7183,127.6713,0,U,4614,999,64856,.11959E-2,.1434E-4,0
THORAD AGENA D DEB,1970-025T,2022-12-14T17:14:28.056192,13.71561309,.0060829,100.1913,24.6770,123.5107,347.1252,0,U,4615,999,62702,.33831E-3,.26E-5,0
COSMOS 374 DEB,1970-089C,2022-12-14T23:26:09.861792,12.70578123,.0929394,62.8186,335.7525,305.6169,46.1626,0,U,4616,999,39949,.72517E-3,.8E-5,0
COSMOS 374 DEB,1970-089D,2022-12-14T13:16:20.527104,14.22130190,.0429034,62.9420,287.5523,171.1032,189.7958,0,U,4617,999,58447,.46534E-3,.2521E-4,0
COSMOS 374 DEB,1970-089H,2022-12-15T10:40:06.865824,13.47959594,.0764705,62.9129,349.2416,81.4258,287.2581,0,U,4621,999,50856,.46831E-3,.1764E-4,0
COSMOS 375 DEB,1970-091H,2022-12-14T20:42:28.130112,14.17323652,.0478369,62.7563,197.3057,34.1611,328.9265,0,U,4628,999,57918,.9522E-3,.5945E-4,0
COSMOS 375 DEB,1970-091J,2022-12-15T07:14:47.258304,13.01188575,.0896267,62.8639,211.5749,287.5729,62.9386,0,U,4629,999,46281,.99554E-4,.118E-5,0
OPS 5960 (DSP 1),1970-093A,2022-12-14T22:30:51.412320,1.20217318,.1403189,12.9760,60.1320,223.2685,117.2890,0,U,4630,999,22843,0,-.106E-5,0
TITAN 3C TRANSTAGE R/B,1970-093B,2022-12-14T18:58:54.920352,1.20232112,.1408978,12.9858,59.7849,223.4150,182.2957,0,U,4632,999,12701,0,-.107E-5,0
COSMOS 375 DEB,1970-091L,2022-12-14T21:00:23.814432,13.90931824,.0512585,62.8092,203.1839,265.6889,88.5447,0,U,4634,999,56530,.47744E-3,.1635E-4,0
COSMOS 375 DEB,1970-091M,2022-12-15T11:31:11.993952,13.03892641,.0959214,62.8078,65.9055,73.3722,297.0285,0,U,4635,999,47441,.44139E-4,.27E-6,0
THORAD AGENA D DEB,1970-025U,2022-12-14T15:00:50.253696,13.68605334,.0032866,99.9314,277.7191,140.7209,342.6545,0,U,4636,999,61985,.23122E-3,.152E-5,0
THORAD AGENA D DEB,1970-025V,2022-12-14T18:10:57.453024,13.64086999,.0024088,99.9499,335.1015,318.2599,215.8344,0,U,4637,999,61301,.23716E-3,.142E-5,0
THORAD AGENA D DEB,1970-025W,2022-12-15T07:34:43.872384,15.10008657,.0010571,99.9647,202.3182,52.1271,308.0905,0,U,4638,999,67462,.10437E-1,.173839E-2,0
THORAD AGENA D DEB,1970-025X,2022-12-15T11:23:05.166240,13.32621621,.0113697,99.9869,75.9040,252.2979,118.8198,0,U,4639,999,55925,.28453E-3,.99E-6,0
THORAD AGENA D DEB,1970-025Y,2022-12-15T02:03:11.155392,13.37673735,.0122468,99.9386,110.9542,155.9679,20.9630,0,U,4640,999,56129,.57813E-3,.274E-5,0
THORAD AGENA D DEB,1970-025AB,2022-12-15T10:54:03.240288,13.54532231,.001027,99.5523,229.8731,205.5358,329.6769,0,U,4643,999,59896,.2712E-3,.143E-5,0
THORAD AGENA D DEB,1970-025AC,2022-12-14T17:20:09.792384,13.59216129,.001093,99.6537,246.1446,297.2466,123.0479,0,U,4644,999,60314,.50989E-3,.332E-5,0
THORAD AGENA D DEB,1970-025AD,2022-12-15T11:26:47.636736,12.86186377,.0329425,99.8551,158.8759,188.8809,242.1731,0,U,4645,999,47137,.28212E-3,.51E-6,0
THORAD AGENA D DEB,1970-025AH,2022-12-14T13:48:37.717920,14.81914266,.007214,99.8735,19.2618,281.4513,77.8597,0,U,4649,999,73668,.92755E-3,.7608E-4,0
THORAD AGENA D DEB,1970-025AJ,2022-12-14T16:29:24.710784,14.06748042,.0120739,99.8890,335.8671,346.3529,13.4381,0,U,4650,999,67737,.75011E-3,.1279E-4,0
THORAD AGENA D DEB,1970-025AK,2022-12-14T08:44:36.492000,13.97589756,.0050608,100.1498,141.5838,256.5070,103.0447,0,U,4651,999,65645,.11179E-2,.1539E-4,0
THORAD AGENA D DEB,1970-025AL,2022-12-14T06:39:30.917088,13.86243507,.0031063,99.5199,90.2304,33.4675,23.5502,0,U,4652,999,63946,.98339E-3,.1094E-4,0
THORAD AGENA D DEB,1970-025AM,2022-12-14T15:59:43.270656,14.32219951,.0024929,100.0089,50.6512,23.2315,336.9985,0,U,4653,999,68190,.13069E-2,.348E-4,0
THORAD AGENA D DEB,1970-025AN,2022-12-15T06:49:37.725024,14.06741412,.0030544,100.0374,353.7256,319.5205,40.3688,0,U,4654,999,65983,.13326E-2,.2171E-4,0
THORAD AGENA D DEB,1970-025AP,2022-12-14T17:17:34.697472,13.68340182,.0055683,100.0520,32.5208,156.7627,203.6052,0,U,4655,999,62263,.30535E-3,.216E-5,0
THORAD AGENA D DEB,1970-025AQ,2022-12-14T16:54:38.671200,13.67051558,.0025904,99.4730,252.4505,22.9534,31.3930,0,U,4656,999,61825,.24064E-3,.158E-5,0
THORAD AGENA D DEB,1970-025AR,2022-12-15T08:45:53.070912,13.69867434,.0016222,100.1246,136.1922,66.9669,311.5516,0,U,4657,999,61983,.53989E-3,.425E-5,0
THORAD AGENA D DEB,1970-025AS,2022-12-14T13:48:56.405376,13.92930334,.0026942,99.9509,199.5293,2.3590,357.7689,0,U,4658,999,63971,.11265E-2,.1416E-4,0
THORAD AGENA D DEB,1970-025AT,2022-12-14T16:54:28.941696,13.87483348,.001129,100.1323,339.8058,21.3114,338.8508,0,U,4659,999,63068,.1299E-2,.1483E-4,0
COSMOS 375 DEB,1970-091S,2022-12-15T00:33:58.642560,13.49724412,.07347,62.5479,349.1624,299.3848,53.5742,0,U,4665,999,48086,.14742E-2,.5231E-4,0
COSMOS 374 DEB,1970-089K,2022-12-14T17:06:07.379424,13.52771028,.0684595,62.9394,137.1271,0.4065,359.7381,0,U,4667,999,51441,.37951E-3,.1041E-4,0
COSMOS 374 DEB,1970-089L,2022-12-14T17:39:56.398752,12.86579084,.0943919,62.9784,80.9297,215.1779,138.3265,0,U,4668,999,44484,.14379E-3,.181E-5,0
THORAD AGENA D DEB,1970-025AV,2022-12-14T21:53:02.413536,13.54417583,.0039051,99.5168,222.9492,44.8392,315.6110,0,U,4672,999,59648,.94621E-4,.22E-6,0
THORAD AGENA D DEB,1970-025AY,2022-12-14T17:49:42.354048,13.51321208,.0000699,100.0069,286.5183,346.7260,71.4659,0,U,4675,999,59680,.86521E-4,.1E-6,0
THORAD AGENA D DEB,1970-025AZ,2022-12-15T11:07:40.959264,13.54895492,.0004148,100.1544,336.3107,285.4197,200.7602,0,U,4676,999,60162,.30254E-3,.161E-5,0
THORAD AGENA D DEB,1970-025BA,2022-12-15T03:34:01.505856,13.57705406,.0010001,99.9607,71.9276,107.2334,314.7067,0,U,4677,999,60527,.33752E-3,.197E-5,0
THORAD AGENA D DEB,1970-025BC,2022-12-14T13:24:47.994048,13.66812868,.0018536,100.0722,87.8563,187.3108,184.9142,0,U,4679,999,61515,.68429E-3,.523E-5,0
THORAD AGENA D DEB,1970-025BE,2022-12-14T13:46:05.602944,13.07779647,.0244106,99.8960,287.3245,101.9556,72.5336,0,U,4681,999,50819,.15862E-2,.579E-5,0
THORAD AGENA D DEB,1970-025BF,2022-12-14T23:42:39.563424,13.23600793,.01468,99.8775,56.0710,306.1149,232.5565,0,U,4682,999,53909,.82822E-3,.33E-5,0
THORAD AGENA D DEB,1970-025BG,2022-12-14T12:26:13.727616,13.33945850,.0123219,100.4777,340.5395,223.5264,264.4563,0,U,4683,999,55713,.4779E-3,.2E-5,0
THORAD AGENA D DEB,1970-025BJ,2022-12-14T16:20:50.851104,13.55338486,.0054408,100.0527,37.3206,227.7884,248.7937,0,U,4685,999,59596,.35273E-3,.2E-5,0
THORAD AGENA D DEB,1970-025BK,2022-12-14T21:03:02.297088,13.56297960,.0035521,100.2968,21.3604,25.1090,148.3056,0,U,4686,999,59704,.51532E-3,.315E-5,0
THORAD AGENA D DEB,1970-025BL,2022-12-15T07:02:55.761216,13.50534861,.0027539,99.4385,171.5885,250.2435,283.8991,0,U,4687,999,59193,.32439E-3,.167E-5,0
THORAD AGENA D DEB,1970-025BM,2022-12-13T02:56:51.917568,13.52920264,.002238,100.1166,49.1268,188.9976,238.4742,0,U,4688,999,59431,.29825E-3,.152E-5,0
THORAD AGENA D DEB,1970-025BN,2022-12-14T15:17:22.272576,13.55121115,.0070867,99.4898,219.7918,16.1909,40.7509,0,U,4689,999,59691,.42875E-3,.258E-5,0
COSMOS 374 DEB,1970-089Q,2022-12-14T19:08:50.322624,13.40368097,.0717975,63.1085,11.2339,50.6913,315.5555,0,U,4698,999,48275,.74458E-3,.183E-4,0
COSMOS 374 DEB,1970-089R,2022-12-14T16:01:37.426656,14.19607632,.0489787,62.9278,104.8971,59.2376,305.5965,0,U,4699,999,52615,.71002E-3,.4987E-4,0
THORAD AGENA D DEB,1970-025BT,2022-12-15T02:39:11.081952,13.57234701,.0045591,99.9911,76.9678,186.4026,293.0502,0,U,4705,999,59701,.66045E-3,.428E-5,0
THORAD AGENA D DEB,1970-025BU,2022-12-15T06:30:29.139840,13.45571612,.0033804,99.8702,253.0421,303.6143,220.5878,0,U,4706,999,58571,.13636E-3,.37E-6,0
THORAD AGENA D DEB,1970-025BW,2022-12-14T13:09:49.744224,13.82411237,.0068363,100.0654,322.4083,214.0717,258.4265,0,U,4708,999,61782,.14305E-2,.1525E-4,0
THORAD AGENA D DEB,1970-025BX,2022-12-14T19:53:42.912960,14.42157577,.0095679,100.0498,11.9776,241.2104,117.9446,0,U,4709,999,71750,.7447E-3,.2527E-4,0
THORAD AGENA D DEB,1970-025BY,2022-12-14T12:03:22.294368,13.55163784,.0005425,100.0749,305.1856,90.4840,25.5025,0,U,4710,999,60001,.28155E-3,.148E-5,0
COSMOS 374 DEB,1970-089S,2022-12-15T08:06:49.618656,13.30365984,.0769292,63.1365,266.3221,8.1735,353.1012,0,U,4711,999,50302,.85734E-3,.2094E-4,0
COSMOS 375 DEB,1970-091T,2022-12-14T22:36:23.427648,13.91777997,.053337,62.7853,175.2382,335.2526,22.3755,0,U,4712,999,56483,.4403E-3,.1691E-4,0
THORAD AGENA D DEB,1970-025BZ,2022-12-15T01:12:52.257312,13.80736759,.0035407,99.2297,63.6606,278.8656,202.1432,0,U,4715,999,63714,.31337E-3,.287E-5,0
THORAD AGENA D DEB,1970-025CA,2022-12-14T19:11:03.860736,13.99703738,.0009548,100.0091,359.5470,190.3910,344.8124,0,U,4716,999,64594,.96149E-3,.1356E-4,0
