OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
UNKNOWN,1999-025,2022-12-13T03:15:58.293504,14.00940116,.0181511,99.9082,225.8467,247.0773,111.1142,0,U,87565,999,46277,.43061E-3,.691E-5,0
UNKNOWN,1999-025,2022-12-13T04:37:02.180640,12.68484527,.0055682,101.8536,112.1564,248.3852,232.8586,0,U,87569,999,41955,.17589E-3,-.13E-6,0
UNKNOWN,1993-036,2022-12-08T06:07:15.632256,14.39001304,.0022107,74.0253,336.0754,278.5684,81.2965,0,U,87587,999,47545,.58535E-4,.154E-5,0
UNKNOWN,1999-025,2022-12-13T14:38:26.166048,14.07968638,.0028315,98.9197,27.8284,128.3577,23.2826,0,U,87590,999,101,.18232E-3,.267E-5,0
UNKNOWN,1976-067,2022-12-13T10:04:25.522176,12.45128930,.0642966,66.0361,139.2478,245.0148,139.6078,0,U,87616,999,2714,.13778E-2,.354E-5,0
UNKNOWN,1999-025,2022-12-12T14:12:55.209888,14.54056333,.0128284,98.7355,214.0058,26.2376,334.5243,0,U,87624,999,42023,.51977E-3,.2392E-4,0
UNKNOWN,,2022-12-10T14:15:33.632928,14.33105880,.0053417,100.2705,275.3277,171.9829,188.2215,0,U,87650,999,2919,.18076E-2,.4983E-4,0
UNKNOWN,1975-052,2022-12-03T10:00:43.322976,13.06342067,.0215107,99.7389,305.5960,340.7030,174.2392,0,U,87664,999,54557,.15258E-2,.523E-5,0
UNKNOWN,1993-016,2022-12-13T00:06:27.415872,14.19349136,.0062175,70.8608,196.6844,139.0442,221.5377,0,U,87672,999,5456,.58855E-3,.1212E-4,0
UNKNOWN,,2022-12-13T05:09:45.109152,13.67618936,.0161116,66.7364,165.7543,167.0669,193.4606,0,U,87681,999,45184,.10016E-2,.854E-5,0
UNKNOWN,1976-126,2022-12-14T12:37:11.765568,13.80461182,.067578,65.7991,273.2223,236.9656,116.4755,0,U,87690,999,45528,.59572E-3,.3685E-4,0
UNKNOWN,,2022-12-13T07:24:54.875808,14.49436619,.0133664,98.5742,115.9354,25.1383,1.0624,0,U,87706,999,41906,.41296E-3,.1719E-4,0
UNKNOWN,1981-053,2022-12-14T02:16:25.952448,14.40222353,.0028652,82.8964,116.1194,323.3307,36.5923,0,U,87725,999,47420,.1433E-2,.4571E-4,0
UNKNOWN,1992-093,2022-12-12T15:11:57.657408,15.01263296,.0012544,70.9651,223.8779,260.3132,99.6618,0,U,87727,999,74754,.54068E-2,.70328E-3,0
UNKNOWN,,2022-12-14T05:32:05.485056,13.74226232,.0030055,82.9441,323.7668,171.1196,189.0498,0,U,87730,999,43499,.78289E-4,.89E-6,0
UNKNOWN,1999-025,2022-12-13T09:14:17.799936,13.72057312,.0133762,99.5339,218.1403,156.9145,203.8088,0,U,87737,999,151,.70913E-4,.25E-6,0
UNKNOWN,1976-126,2022-12-14T10:42:02.507904,14.07655816,.0485241,65.6732,227.9231,263.3651,276.7756,0,U,87764,999,46369,.11108E-2,.5519E-4,0
UNKNOWN,1975-052,2022-12-14T06:14:31.792416,13.19106945,.0119829,100.6992,145.5019,322.5234,36.7569,0,U,87771,999,39076,.3138E-3,.82E-6,0
UNKNOWN,1973-086,2022-12-13T03:53:42.441792,12.92135846,.0071914,102.4153,65.6677,260.2749,99.0214,0,U,87782,999,95653,.10475E-1,.2801E-4,0
UNKNOWN,1970-025,2022-12-14T07:08:24.349920,13.11028245,.0242107,99.6706,182.2069,36.5214,325.2141,0,U,87843,999,42046,.48798E-2,.1953E-4,0
UNKNOWN,,2022-12-14T05:57:51.594048,12.85107709,.0586026,98.8461,147.7712,245.4438,108.4518,0,U,87845,999,42443,.18517E-2,.917E-5,0
UNKNOWN,,2022-12-12T01:34:32.712960,14.30009968,.004186,99.2074,23.2211,217.0636,142.7652,0,U,87878,999,95503,.73722E-3,.1871E-4,0
UNKNOWN,1999-025,2022-12-07T23:29:00.436992,14.12646841,.0295873,99.2035,244.0641,229.6143,127.8861,0,U,87883,999,41677,.28759E-3,.752E-5,0
UNKNOWN,1999-025,2022-12-12T07:26:56.936544,14.04599075,.0155768,98.6295,119.1571,273.9277,84.4096,0,U,87884,999,46437,.2714E-3,.441E-5,0
UNKNOWN,1999-025,2022-12-13T14:08:51.569664,14.32407992,.0126694,98.9051,220.0918,224.8327,134.2566,0,U,87898,999,47101,.26205E-2,.7706E-4,0
UNKNOWN,,2022-12-07T21:26:46.253760,13.72845059,.0030121,82.9384,33.0914,213.6991,269.2922,0,U,87934,999,87569,.97907E-4,.105E-5,0
UNKNOWN,,2022-12-07T22:36:40.794048,14.87959777,.0131627,99.0956,338.6169,44.3600,346.7872,0,U,87942,999,55660,.13936E-2,.14953E-3,0
UNKNOWN,1999-025,2022-12-07T00:48:40.636224,14.34888071,.0156155,98.8088,272.0488,5.4462,354.8375,0,U,87972,999,41796,.58957E-2,.19228E-3,0
UNKNOWN,1977-065,2022-12-13T16:29:57.676704,12.30245787,.0908182,28.6171,160.5296,159.1668,204.8438,0,U,87991,999,38781,.43084E-2,.2126E-4,0
UNKNOWN,,2022-12-05T09:26:25.364832,14.34859240,.0016771,74.0472,237.1043,210.9400,149.0766,0,U,89003,999,85043,.75204E-4,.188E-5,0
UNKNOWN,,2022-12-14T11:05:02.062752,14.35838329,.0219308,97.9551,245.0286,128.2765,233.8376,0,U,89005,999,37655,.39032E-3,.1443E-4,0
UNKNOWN,,2022-12-13T08:33:33.492960,14.80001969,.0029047,98.1817,208.5437,296.1182,63.7041,0,U,89029,999,5403,.36462E-3,.2721E-4,0
UNKNOWN,,2022-12-07T07:48:56.970432,14.04870379,.0140352,98.4473,289.0878,53.0677,308.3253,0,U,89037,999,36727,.19644E-2,.3408E-4,0
UNKNOWN,,2022-12-14T12:07:29.785440,14.83721043,.0019418,99.0476,265.3352,30.2562,329.9765,0,U,89048,999,47902,.1193E-1,.100333E-2,0
UNKNOWN,,2022-12-13T05:12:19.117152,14.54050465,.0539128,80.9858,63.5239,81.1754,285.0070,0,U,89067,999,45690,.41071E-3,.141E-3,0
UNKNOWN,,2022-12-12T22:04:18.339744,13.69863246,.0051533,100.2969,30.7190,269.4391,264.0407,0,U,89074,999,43890,.32869E-2,.2858E-4,0
UNKNOWN,,2022-12-13T02:52:09.054336,13.03688554,.0148191,100.3304,309.2945,34.6874,326.3789,0,U,89101,999,42079,.19078E-2,.596E-5,0
UNKNOWN,,2022-12-12T05:38:26.534112,14.20728057,.0064297,99.0671,92.0897,147.8836,212.6282,0,U,89123,999,37134,.28678E-2,.6273E-4,0
UNKNOWN,,2022-12-12T15:55:54.959520,8.75369872,.3050784,63.4400,233.3099,320.5928,20.7914,0,U,89132,999,22853,.21264E-2,.2353E-4,0
UNKNOWN,,2022-12-13T17:58:46.659360,14.16277173,.0130008,71.0627,107.1884,114.2749,247.2020,0,U,89135,999,99096,.22821E-2,.4872E-4,0
UNKNOWN,,2022-12-12T23:23:50.241120,8.89373790,.3003275,64.8610,248.3916,64.8168,323.2966,0,U,89142,999,21368,.14087E+0,.202081E-2,0
